ablation,scenario,trial,seed,fusion_mode,false_positive_rate,false_negative_rate,noise_level,latency_steps,dropout_probability,confidence_error_level,collision_risk_count,missed_response_count,fusion_recovery_count,mission_success,avg_response_time_s,avg_formation_error
no_radar_tracking,false_positive,1,42,no_fusion,0.08,0.0,0.0,0,0.0,0.0,76,0,0,Yes,0.0,3.789
no_radar_tracking,false_positive,2,43,no_fusion,0.08,0.0,0.0,0,0.0,0.0,90,0,0,Yes,0.0,3.655
no_radar_tracking,false_positive,3,44,no_fusion,0.08,0.0,0.0,0,0.0,0.0,76,0,0,Yes,0.0,4.112
no_radar_tracking,false_positive,4,45,no_fusion,0.08,0.0,0.0,0,0.0,0.0,74,0,0,Yes,0.0,3.75
no_radar_tracking,false_positive,5,46,no_fusion,0.08,0.0,0.0,0,0.0,0.0,82,0,0,Yes,0.0,3.986
no_radar_tracking,false_negative,1,42,no_fusion,0.0,0.25,0.0,0,0.0,0.0,85,23,0,Yes,0.125,4.061
no_radar_tracking,false_negative,2,43,no_fusion,0.0,0.25,0.0,0,0.0,0.0,92,14,0,Yes,0.038,4.068
no_radar_tracking,false_negative,3,44,no_fusion,0.0,0.25,0.0,0,0.0,0.0,99,18,0,Yes,0.125,4.015
no_radar_tracking,false_negative,4,45,no_fusion,0.0,0.25,0.0,0,0.0,0.0,83,13,0,Yes,0.088,3.781
no_radar_tracking,false_negative,5,46,no_fusion,0.0,0.25,0.0,0,0.0,0.0,89,17,0,No,0.1,4.09
no_radar_tracking,sensor_noise,1,42,no_fusion,0.0,0.0,1.5,0,0.0,0.0,141,0,0,No,0.0,4.083
no_radar_tracking,sensor_noise,2,43,no_fusion,0.0,0.0,1.5,0,0.0,0.0,143,0,0,No,0.0,3.707
no_radar_tracking,sensor_noise,3,44,no_fusion,0.0,0.0,1.5,0,0.0,0.0,136,0,0,No,0.0,3.981
no_radar_tracking,sensor_noise,4,45,no_fusion,0.0,0.0,1.5,0,0.0,0.0,167,0,0,No,0.0,4.275
no_radar_tracking,sensor_noise,5,46,no_fusion,0.0,0.0,1.5,0,0.0,0.0,160,0,0,No,0.0,4.204
