scenario,step,time_s,uav_id,uav_pos_x,uav_pos_y,goal_pos_x,goal_pos_y,actual_obstacle_x,actual_obstacle_y,perceived_obstacle_x,perceived_obstacle_y,perception_error_type,confidence_value,fusion_mode,action_taken,safety_margin_mode,safety_margin_applied,safety_margin_increase,quality_action_taken,num_perceived_detections,num_phantom_detections,dist_to_goal,distance_to_nearest_uav,distance_to_obstacle,nearest_entity_type,nearest_entity_distance,collision_risk_flag,unnecessary_avoidance_flag,missed_response_flag,mission_completed_flag,reached_goal,num_active_entities,active_entities_json
moving_obstacle_approaching_swarm,0,0.0,0,5.271,5.259,94.0,90.0,94.8,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,122.694,9.969,85.654,uav_2,9.969,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.8, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,0,0.0,1,5.275,15.255,90.0,94.0,94.8,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,115.668,9.996,85.679,uav_0,9.996,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.8, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,0,0.0,2,15.24,5.288,86.0,90.0,94.8,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,110.377,9.969,75.699,uav_0,9.969,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.8, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,0,0.0,3,15.272,15.258,90.0,86.0,94.8,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,102.901,9.97,75.701,uav_2,9.97,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.8, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,1,0.2,0,5.542,5.518,94.0,90.0,94.6,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,122.319,9.939,85.17,uav_2,9.939,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.6, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,1,0.2,1,5.549,15.511,90.0,94.0,94.6,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,115.293,9.993,85.221,uav_0,9.993,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.6, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,1,0.2,2,15.481,5.576,86.0,90.0,94.6,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,110.002,9.939,75.243,uav_0,9.939,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.6, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,1,0.2,3,15.545,15.516,90.0,86.0,94.6,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,102.526,9.94,75.248,uav_2,9.94,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.6, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,2,0.4,0,5.814,5.777,94.0,90.0,94.4,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,121.944,9.908,84.687,uav_2,9.908,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.4, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,2,0.4,1,5.824,15.766,90.0,94.0,94.4,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,114.918,9.989,84.763,uav_0,9.989,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.4, ""y"": 10.0, ""radius"": 4.0}]"
moving_obstacle_approaching_swarm,2,0.4,2,15.721,5.863,86.0,90.0,94.4,10.0,,,none,,no_fusion,move,fixed,0.5,0.0,,3,0,109.627,9.908,74.787,uav_0,9.908,False,False,False,False,False,1,"[{""id"": ""obstacle_0"", ""kind"": ""moving_obstacle"", ""x"": 94.4, ""y"": 10.0, ""radius"": 4.0}]"
